_______________________________Simulator Results______________________________
Date:                        Wed Jun 03 17:17:46 CEST 2020

____________________________Simulator Configuration___________________________
Simulation Type:             Terminating
Project Name:                BankRobbery
Study Name:                  bankStudy
Random Number Generator:     Mersenne Twister
Random Number Seed:          31415
Maximum Batches:             1000
Minimum Batches:             1000
Data Reporting Frequency:    1000
Display Update Frequency:    1000
BuildType:                   Optimize
Execution Architecture:      64-bit
Runname:                     PhisicalAttack
Output File:                 PhisicalAttack_output.txt
Results File:                PhisicalAttack_results
Jackknife Variance:          On
Processors Per Experiment:   1
Maximize Processor Usage:    false
Processors Selected for Simulation: 
        student-VirtualBox   amd64

_________________________________Experiment 1_________________________________
Start Time:                  Wed Jun 03 16:46:09 CEST 2020
Finish Time:                 Wed Jun 03 17:17:45 CEST 2020
Elapsed Running Time:        1896.349
Total CPU Time:              1893.0079790000002
Batches Completed:           1000
Experiment Name:             Experiment 1
Global Variable Settings:    
        short                breakerSkill             1000                   
        short                cyberVulnerabilitiesKnowledge  0                      
        short                hackerSkill              1000                   
        short                secVulnerabilitiesKnowledge  1                      
        short                securityComponentsAccess  1                      
        short                socialEngineerSkill      0                      
        short                stealthSkill             1000                   


_________________________________Mean Results_________________________________
Name                  Time               Mean                     Confidence Interval
control_cameras       0.0               0.0000000000E00   +/-   0.0000000000E00 
control_cameras       500.0             2.6200000000E-01  +/-   2.7267928956E-02  (*)
control_cameras       1000.0            6.1500000000E-01  +/-   3.0174581113E-02
control_cameras       1500.0            7.8700000000E-01  +/-   2.5389286431E-02
control_cameras       2000.0            8.9300000000E-01  +/-   1.9168624305E-02
control_cameras       2500.0            9.4000000000E-01  +/-   1.4726952269E-02
control_cameras       3000.0            9.6800000000E-01  +/-   1.0914051407E-02
control_cameras       3500.0            9.5100000000E-01  +/-   1.3386333042E-02
control_cameras       4000.0            9.5300000000E-01  +/-   1.3124075089E-02
control_cameras       4500.0            9.5400000000E-01  +/-   1.2990516846E-02
control_cameras       5000.0            9.6200000000E-01  +/-   1.1856395055E-02
control_cameras       5500.0            9.4600000000E-01  +/-   1.4015731702E-02
control_cameras       6000.0            9.4500000000E-01  +/-   1.4137433537E-02
control_cameras       6500.0            9.5400000000E-01  +/-   1.2990516846E-02
control_cameras       7000.0            9.5300000000E-01  +/-   1.3124075089E-02
control_cameras       7500.0            9.4600000000E-01  +/-   1.4015731702E-02
control_cameras       8000.0            9.6100000000E-01  +/-   1.2005142642E-02
control_cameras       8500.0            9.7000000000E-01  +/-   1.0578396025E-02
control_cameras       9000.0            9.6600000000E-01  +/-   1.1238318834E-02
control_cameras       9500.0            9.7000000000E-01  +/-   1.0578396025E-02
control_cameras       10000.0           9.5800000000E-01  +/-   1.2438864214E-02
control_cameras       10500.0           9.6400000000E-01  +/-   1.1552157320E-02
control_cameras       11000.0           9.6600000000E-01  +/-   1.1238318834E-02
control_cameras       11500.0           9.6500000000E-01  +/-   1.1396487175E-02
control_cameras       12000.0           9.6400000000E-01  +/-   1.1552157320E-02
control_cameras       12500.0           9.6300000000E-01  +/-   1.1705428940E-02
control_cameras       13000.0           9.7500000000E-01  +/-   9.6815666466E-03
control_cameras       13500.0           9.6600000000E-01  +/-   1.1238318834E-02
control_cameras       14000.0           9.6200000000E-01  +/-   1.1856395055E-02
control_cameras       14500.0           9.7300000000E-01  +/-   1.0051054537E-02
control_cameras       15000.0           9.7700000000E-01  +/-   9.2957519655E-03
control_cameras       15500.0           9.8500000000E-01  +/-   7.5376691660E-03
control_cameras       16000.0           9.8000000000E-01  +/-   8.6816318011E-03
control_cameras       16500.0           9.6800000000E-01  +/-   1.0914051407E-02
control_cameras       17000.0           9.8400000000E-01  +/-   7.7809185250E-03
control_cameras       17500.0           9.7400000000E-01  +/-   9.8682349212E-03
control_cameras       18000.0           9.6300000000E-01  +/-   1.1705428940E-02
control_cameras       18500.0           9.6500000000E-01  +/-   1.1396487175E-02
control_cameras       19000.0           9.7200000000E-01  +/-   1.0230231827E-02
control_cameras       19500.0           9.8300000000E-01  +/-   8.0163107998E-03
control_cameras       20000.0           9.8000000000E-01  +/-   8.6816318011E-03
control_cameras       20500.0           9.7900000000E-01  +/-   8.8914854166E-03
control_cameras       21000.0           9.7500000000E-01  +/-   9.6815666466E-03
control_cameras       21500.0           9.8000000000E-01  +/-   8.6816318011E-03
control_cameras       22000.0           9.7500000000E-01  +/-   9.6815666466E-03
control_cameras       22500.0           9.8100000000E-01  +/-   8.4661241225E-03
control_cameras       23000.0           9.7200000000E-01  +/-   1.0230231827E-02
control_cameras       23500.0           9.7400000000E-01  +/-   9.8682349212E-03
control_cameras       24000.0           9.7400000000E-01  +/-   9.8682349212E-03
control_cameras       24500.0           9.7600000000E-01  +/-   9.4908226258E-03
control_cameras       25000.0           9.8300000000E-01  +/-   8.0163107998E-03
control_cameras       25500.0           9.8300000000E-01  +/-   8.0163107998E-03
control_cameras       26000.0           9.8700000000E-01  +/-   7.0243085432E-03
control_cameras       26500.0           9.8200000000E-01  +/-   8.2445190092E-03
control_cameras       27000.0           9.8300000000E-01  +/-   8.0163107998E-03
control_cameras       27500.0           9.8600000000E-01  +/-   7.2857757946E-03
control_cameras       28000.0           9.8200000000E-01  +/-   8.2445190092E-03
control_cameras       28500.0           9.8000000000E-01  +/-   8.6816318011E-03
control_cameras       29000.0           9.7900000000E-01  +/-   8.8914854166E-03
